WP_003853689.1 WP_003853689.1 100.000 500 0.0 1037 WP_000877334.1
WP_003853803.1 WP_003853803.1 100.000 284 0.0 561 WP_000975730.1
WP_003853851.1 WP_003853851.1 100.000 207 9.73e-152 416 WP_001809263.1
WP_003854117.1 WP_003854117.1 100.000 338 0.0 689 WP_000218054.1
WP_003854128.1 WP_003854128.1 100.000 613 0.0 1253 WP_000137358.1
WP_003854210.1 WP_003854210.1 100.000 128 1.06e-80 229 WP_001196960.1
WP_003854221.1 WP_003854221.1 100.000 122 1.67e-86 244 WP_001142332.1
WP_003854222.1 WP_003854222.1 100.000 155 5.04e-114 316 WP_000087875.1
WP_003854291.1 WP_003854291.1 100.000 101 1.59e-71 204 WP_001284513.1
WP_003854292.1 WP_003854292.1 100.000 218 1.65e-159 436 WP_000160197.1
WP_003854293.1 WP_003854293.1 100.000 218 6.17e-163 445 WP_000024543.1
WP_003854294.1 WP_003854294.1 100.000 101 8.72e-71 202 WP_001055347.1
WP_003854295.1 WP_003854295.1 100.000 280 0.0 566 WP_000512911.1
WP_003854296.1 WP_003854296.1 100.000 92 4.32e-65 187 WP_000533766.1
WP_003854297.1 WP_003854297.1 100.000 120 1.51e-85 241 WP_000818137.1
WP_003854298.1 WP_003854298.1 100.000 248 0.0 499 WP_000529936.1
WP_003854302.1 WP_003854302.1 100.000 138 8.52e-101 281 WP_000960946.1
WP_003854304.1 WP_003854304.1 100.000 76 6.99e-51 150 WP_000772918.1
WP_003854306.1 WP_003854306.1 100.000 92 1.33e-63 184 WP_000440801.1
WP_003854312.1 WP_003854312.1 100.000 122 1.65e-85 241 WP_000616545.1
WP_003854314.1 WP_003854314.1 100.000 104 1.10e-72 207 WP_000497691.1
WP_003854317.1 WP_003854317.1 100.000 191 3.14e-141 388 WP_000013542.1
WP_003854344.1 WP_003854344.1 100.000 132 4.47e-96 269 WP_000245505.1
WP_003854346.1 WP_003854346.1 100.000 134 1.44e-94 265 WP_000624044.1
WP_003854347.1 WP_003854347.1 100.000 211 3.04e-152 417 WP_000874201.1
WP_003854402.1 WP_003854402.1 100.000 440 0.0 875 WP_000161876.1
WP_003854402.1 WP_003854402.1 100.000 440 0.0 875 WP_000465397.1
WP_003854403.1 WP_003854403.1 100.000 181 1.13e-130 360 WP_001050436.1
WP_003854422.1 WP_003854422.1 100.000 72 1.81e-49 146 WP_001029883.1
WP_003854425.1 WP_003854425.1 100.000 122 7.49e-87 244 WP_000090781.1
WP_003854428.1 WP_003854428.1 100.000 134 1.19e-97 273 WP_001118385.1
WP_003854535.1 WP_003854535.1 100.000 147 7.88e-110 305 WP_001044624.1
WP_003854537.1 WP_003854537.1 100.000 182 5.78e-133 366 WP_000075966.1
WP_003854549.1 WP_003854549.1 100.000 165 3.36e-119 330 WP_000288232.1
WP_003854559.1 WP_003854559.1 100.000 99 1.63e-68 196 WP_000917330.1
WP_003854626.1 WP_003854626.1 100.000 225 4.67e-158 433 WP_000444642.1
WP_003854638.1 WP_003854638.1 100.000 223 7.65e-166 452 WP_000188505.1
WP_003854647.1 WP_003854647.1 100.000 157 4.74e-116 321 WP_000181374.1
WP_003854745.1 WP_003854745.1 100.000 212 6.67e-161 439 WP_000124563.1
WP_003854745.1 WP_003854745.1 100.000 212 6.67e-161 439 WP_001144899.1
WP_003854761.1 WP_003854761.1 100.000 99 1.32e-69 199 WP_000705418.1
WP_003854855.1 WP_003854855.1 100.000 80 5.60e-51 151 WP_001054562.1
WP_003854856.1 WP_003854856.1 100.000 270 0.0 537 WP_000392851.1
WP_003854866.1 WP_003854866.1 100.000 358 0.0 725 WP_001028831.1
WP_003854900.1 WP_003854900.1 100.000 445 0.0 886 WP_000216382.1
WP_003855074.1 WP_003855074.1 100.000 95 1.26e-64 186 WP_001151785.1
WP_003855103.1 WP_003855103.1 100.000 230 2.40e-171 467 WP_000811482.1
WP_003855178.1 WP_003855178.1 100.000 348 0.0 701 WP_000658684.1
WP_003855284.1 WP_003855284.1 100.000 494 0.0 1018 WP_001808398.1
WP_003855300.1 WP_003855300.1 100.000 317 0.0 650 WP_000081011.1
WP_003855300.1 WP_003855300.1 100.000 317 0.0 650 WP_000272304.1
WP_003855307.1 WP_003855307.1 100.000 379 0.0 757 WP_000410378.1
WP_003855313.1 WP_003855313.1 100.000 317 0.0 656 WP_000727904.1
WP_003855320.1 WP_003855320.1 100.000 47 1.01e-26 87.4 WP_000831905.1
WP_003855336.1 WP_003855336.1 100.000 394 0.0 796 WP_000581157.1
WP_003855418.1 WP_003855418.1 100.000 218 5.95e-158 432 WP_000278876.1
WP_003855496.1 WP_003855496.1 100.000 248 0.0 506 WP_000240129.1
WP_003855496.1 WP_003855496.1 100.000 248 0.0 506 WP_000780816.1
WP_003855497.1 WP_003855497.1 100.000 413 0.0 839 WP_000831344.1
WP_003855497.1 WP_003855497.1 100.000 413 0.0 839 WP_000833270.1
WP_003855497.1 WP_003855497.1 100.000 413 0.0 839 WP_000886219.1
WP_003855505.1 WP_003855505.1 100.000 270 0.0 539 WP_000689710.1
WP_003855552.1 WP_003855552.1 100.000 294 0.0 597 WP_001025729.1
WP_003855650.1 WP_003855650.1 100.000 159 5.71e-115 319 WP_000291875.1
WP_003855676.1 WP_003855676.1 100.000 103 1.07e-70 202 WP_000981526.1
WP_003855724.1 WP_003855724.1 100.000 421 0.0 847 WP_000869659.1
WP_003855899.1 WP_003855899.1 100.000 363 0.0 721 WP_001808442.1
WP_003855910.1 WP_003855910.1 100.000 760 0.0 1574 WP_001123793.1
WP_003855936.1 WP_003855936.1 100.000 459 0.0 923 WP_001113214.1
WP_003855973.1 WP_003855973.1 100.000 187 5.96e-139 382 WP_000568640.1
WP_003855988.1 WP_003855988.1 100.000 190 4.19e-140 385 WP_000775037.1
WP_003855993.1 WP_003855993.1 100.000 95 6.48e-68 195 WP_000979235.1
WP_003856000.1 WP_003856000.1 100.000 407 0.0 825 WP_000003934.1
WP_003856004.1 WP_003856004.1 100.000 169 7.14e-125 345 WP_000412220.1
WP_003856016.1 WP_003856016.1 100.000 422 0.0 855 WP_001835921.1
WP_003856018.1 WP_003856018.1 100.000 159 5.79e-114 316 WP_001099502.1
