WP_003853449.1	WP_003853449.1	100.000	67	4.99e-43	130
WP_003853460.1	WP_003853460.1	100.000	189	2.58e-140	385
WP_003853486.1	WP_003853486.1	100.000	201	9.75e-151	412
WP_003853486.1	WP_003856246.1	33.010	103	2.80e-11	56.2
WP_003853529.1	WP_003853529.1	100.000	138	1.85e-101	283
WP_003853529.1	WP_011014102.1	32.090	134	1.02e-15	65.9
WP_003853529.1	WP_011014813.1	27.211	147	1.80e-07	45.1
WP_003853541.1	WP_003853541.1	100.000	261	0.0	539
WP_003853634.1	WP_003853634.1	100.000	389	0.0	771
WP_003853634.1	WP_011265531.1	25.758	330	8.82e-10	56.2
WP_003853648.1	WP_003853648.1	100.000	408	0.0	828
WP_003853648.1	WP_011013836.1	24.127	315	1.99e-10	58.5
WP_003853648.1	WP_003862217.1	22.093	172	5.83e-08	51.2
WP_003853677.1	WP_003853677.1	100.000	252	0.0	499
WP_003853689.1	WP_003853689.1	100.000	500	0.0	1037
WP_003853692.1	WP_003853692.1	100.000	263	0.0	544
WP_003853692.1	WP_003860808.1	25.633	316	4.34e-11	58.5
WP_003853699.1	WP_003853699.1	100.000	70	1.53e-48	144
WP_003853704.1	WP_003853704.1	100.000	376	0.0	774
WP_003853708.1	WP_003853708.1	100.000	199	5.37e-147	403
WP_003853711.1	WP_003853711.1	100.000	126	2.00e-89	251
WP_003853720.1	WP_003853720.1	100.000	163	2.11e-116	323
WP_003853720.1	WP_011013520.1	43.299	97	7.61e-17	69.3
WP_003853745.1	WP_003853745.1	100.000	321	0.0	657
WP_003853776.1	WP_003853776.1	100.000	166	7.50e-123	339
WP_003853779.1	WP_003853779.1	100.000	137	1.07e-97	273
WP_003853803.1	WP_003853803.1	100.000	284	0.0	561
WP_003853803.1	WP_003855021.1	35.088	228	8.74e-28	105
WP_003853806.1	WP_003853806.1	100.000	130	2.87e-94	264
WP_003853810.1	WP_003853810.1	100.000	155	6.40e-110	306
WP_003853851.1	WP_003853851.1	100.000	207	9.73e-152	416
WP_003853866.1	WP_003853866.1	100.000	241	1.07e-179	489
WP_003853866.1	WP_011015530.1	60.669	239	1.03e-99	287
WP_003853866.1	WP_011013630.1	40.693	231	2.88e-57	179
WP_003853866.1	WP_011013867.1	38.053	226	5.24e-54	170
WP_003853866.1	WP_003863097.1	37.668	223	2.61e-46	150
WP_003853866.1	WP_011013940.1	37.611	226	6.86e-45	147
WP_003853866.1	WP_011013524.1	37.333	225	3.97e-40	134
WP_003853867.1	WP_003853867.1	100.000	198	6.67e-142	390
WP_003853884.1	WP_003853884.1	100.000	321	0.0	620
WP_003853884.1	WP_003857497.1	33.754	317	7.11e-52	170
WP_003853884.1	WP_011015038.1	33.000	300	1.59e-38	135
WP_003853884.1	WP_011015119.1	29.721	323	6.50e-34	123
WP_003853934.1	WP_003853934.1	100.000	109	5.60e-74	211
WP_003853939.1	WP_003853939.1	100.000	489	0.0	976
WP_003853941.1	WP_003853941.1	100.000	133	7.83e-99	276
WP_003853955.1	WP_003853955.1	100.000	271	0.0	548
WP_003853955.1	WP_011015468.1	27.099	262	5.11e-12	61.2
WP_003854006.1	WP_003854006.1	100.000	229	1.05e-169	463
WP_003854010.1	WP_003854010.1	100.000	81	3.18e-54	159
WP_003854094.1	WP_003854094.1	100.000	530	0.0	1051
WP_003854094.1	WP_003859319.1	30.899	178	4.84e-20	87.4
WP_003854094.1	WP_003861134.1	29.097	299	5.02e-20	87.4
WP_003854117.1	WP_003854117.1	100.000	338	0.0	689
WP_003854128.1	WP_003854128.1	100.000	613	0.0	1253
WP_003854210.1	WP_003854210.1	100.000	128	1.06e-80	229
WP_003854221.1	WP_003854221.1	100.000	122	1.67e-86	244
WP_003854222.1	WP_003854222.1	100.000	155	5.04e-114	316
WP_003854291.1	WP_003854291.1	100.000	101	1.59e-71	204
WP_003854292.1	WP_003854292.1	100.000	218	1.65e-159	436
WP_003854293.1	WP_003854293.1	100.000	218	6.17e-163	445
WP_003854294.1	WP_003854294.1	100.000	101	8.72e-71	202
WP_003854295.1	WP_003854295.1	100.000	280	0.0	566
WP_003854296.1	WP_003854296.1	100.000	92	4.32e-65	187
WP_003854297.1	WP_003854297.1	100.000	120	1.51e-85	241
WP_003854298.1	WP_003854298.1	100.000	248	0.0	499
WP_003854302.1	WP_003854302.1	100.000	138	8.52e-101	281
WP_003854304.1	WP_003854304.1	100.000	76	6.99e-51	150
WP_003854306.1	WP_003854306.1	100.000	92	1.33e-63	184
WP_003854312.1	WP_003854312.1	100.000	122	1.65e-85	241
WP_003854314.1	WP_003854314.1	100.000	104	1.10e-72	207
WP_003854317.1	WP_003854317.1	100.000	191	3.14e-141	388
WP_003854344.1	WP_003854344.1	100.000	132	4.47e-96	269
WP_003854346.1	WP_003854346.1	100.000	134	1.44e-94	265
WP_003854347.1	WP_003854347.1	100.000	211	3.04e-152	417
WP_003854402.1	WP_003854402.1	100.000	440	0.0	875
WP_003854403.1	WP_003854403.1	100.000	181	1.13e-130	360
